name,distance,mass,radius
sdss j015141.69+124429.6,47,0.06682116,0.09968010999999999
sdss j020742.48+000056.2 [de],47,0.10595926800000001,0.09968010999999999
sdss j032553.17+042540.1,45,0.056320692,0.09762484999999999
sdss j053951.99-005902.0,61,0.03972995256,0.10379063
sdss j074201.41+205520.5 [de],43,0.046774812,0.09659721999999998
sdss j083048.80+012831.1 [de],46,0.073503276,0.09865247999999999
sdss j111010.01+011613.1,9,0.060139044,0.12742612
sdss j141659.78+500626.4 [de],59,0.142233612,0.10173536999999999
sdss j204749.61-071818.3,46,0.06204822,0.09865247999999999
sdssp j010752.33+004156.1 [de],52,0.048683988000000004,0.10070773999999999
sdssp j083008.12+482847.4 [de],48,0.041047284,0.10173536999999999
sdssp j125453.90-012247.4 [de],47,0.036274344,0.10070773999999999
sdssp j132629.82-003831.5 [de],51,0.06204822,0.09968010999999999
sdssp j134646.45-003150.4 [de],44,0.045820224,0.09659721999999998
sdssp j162414.37+002915.6 [de],43,0.034365168,0.09659721999999998
sdssp j175032.96+175903.9,47,0.08591292,0.09968010999999999
teegarden's star,80,0.012006807864,0.13050900999999998
teide 1,55,0.36274344000000003,0.38844413999999994
tvlm 513-46546,75,0.033506038800000006,0.10790115
tvlm 868-110639,79,0.050593164,0.11098404
twa 26,30,0.130778556,0.2260786
twa 28,36,0.17182584,0.24560357
twa 29,2.00,0.250102056,2.5690749999999998
ugps j072227.51-054031.2,26,0.0127914792,0.10070773999999999
ulas j141623.94+134836.3,32,0.0283512636,0.09865247999999999
wise 0410+1502,6,0.01909176,0.12023270999999998
wise 0458+6434a,15,0.0342697092,0.4316046
wise 0458+6434b,10,0.0342697092,0.39049939999999994
wise 1405+5534,30,0.024151076400000002,0.08837618
wise j0254+0223,65,0.022910112,0.19524969999999997
wisep j004701.06+680352.1 [fr],12,0.03818352,0.13359189999999999
wisepa j164715.59+563208.2,41,0.026728464,0.09659721999999998
